Product_Name,Material,Category,Region,Size(cm),Weight(g),Description_Keywords,Price(INR),Image_URL
Kalamkari Saree,Jute,Furniture Miniature,Gujarat,28x88x22,2324,"embroidery, unique design, handcrafted",3705,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Dhokra Figurine,Pashmina Wool,Home Decor,Madhya Pradesh,90x39x19,3644,"sustainable, traditional, classic finish",7860,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Dhokra+Figurine
Terracotta Jewellery,Cotton,Clothing,Goa,62x79x10,1773,"premium, vibrant, woven",8676,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Handwoven Carpet,Clay,Festive Item,West Bengal,56x26x5,483,"durable, eco-friendly, cultural",2585,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Woolen Shawl,Paper Mache,Bags,Kashmir,35x98x40,3610,"embroidery, unique design, hand-painted",9248,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Tribal Art Mask,Leather,Festive Item,Uttar Pradesh,90x33x44,4557,"handcrafted, traditional, tribal",13967,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
Pashmina Shawl,Quartz,Spiritual Item,West Bengal,56x84x24,922,"eco-friendly, artisan made, vibrant",12014,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Pashmina+Shawl
Bamboo Basket,Marble,Accessories,Punjab,46x62x55,621,"artisan made, hand-painted, traditional",2459,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Kantha Stitch Saree,Paper Mache,Jewellery,Tamil Nadu,26x71x47,4103,"premium, artisan made, embroidery",13689,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Brass Idol,Stone,Accessories,Maharashtra,39x97x10,395,"minimal design, sustainable, embroidery",9313,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Bamboo Pen Stand,Stone,Accessories,Gujarat,31x44x56,194,"traditional, natural dyes, artisan made",14124,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Terracotta Planter,Palm Leaf,Clothing,Rajasthan,14x77x34,3769,"cultural, durable, eco-friendly",7410,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Paper Mache Box,Wool,Kitchenware,Assam,19x63x26,736,"tribal, durable, boho style",14373,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Paper+Mache+Box
Kolhapuri Chappal,Clay,Furniture Miniature,Maharashtra,72x80x51,484,"artisan made, embroidery, minimal design",8115,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kolhapuri+Chappal
Lippan Art Frame,Paper Mache,Spiritual Item,Madhya Pradesh,70x36x56,360,"artisan made, premium, eco-friendly",6701,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Lippan+Art+Frame
Handcrafted Wind Chime,Wood,Bags,Kerala,26x39x18,167,"unique design, durable, traditional",6361,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Handwoven Carpet,Jute,Home Decor,Tamil Nadu,98x32x22,1212,"woven, traditional, sustainable",6605,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Wooden Keychain,Marble,Clothing,Tamil Nadu,42x100x14,2410,"embroidery, sustainable, tribal",123,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Handwoven Carpet,Cotton Rope,Jewellery,Punjab,58x43x49,3497,"tribal, cultural, sustainable",4852,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Carpet
Handloom Kurta,Palm Leaf,Wall Art,Kashmir,17x46x47,379,"woven, boho style, vibrant",3389,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Bandhani Dupatta,Leather,Decor,Punjab,53x68x29,185,"hand-painted, tribal, traditional",9629,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Wooden Keychain,Organic Cotton,Jewellery,Kerala,12x63x47,4939,"boho style, tribal, embroidery",14192,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Marble Coaster Set,Wool,Footwear,Chhattisgarh,85x60x12,2870,"hand-painted, natural dyes, eco-friendly",7181,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Rattan Lamp,Quartz,Wall Art,Madhya Pradesh,32x97x54,1370,"heritage craft, premium, woven",6659,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Rattan+Lamp
Hand-painted Kettle,Copper,Home Decor,Maharashtra,86x84x47,1014,"tribal, traditional, heritage craft",1127,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Kantha Stitch Saree,Wool,Jewellery,Goa,63x33x11,2319,"hand-painted, classic finish, minimal design",1286,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Marble Coaster Set,Pashmina Wool,Festive Item,Haryana,22x60x5,170,"handcrafted, premium, heritage craft",12840,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Banarasi Silk Saree,Cotton Rope,Festive Item,Punjab,87x70x51,844,"traditional, embroidery, lacquered",9805,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Bamboo Basket,Wood,Footwear,Odisha,29x17x17,463,"boho style, tribal, woven",14071,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Terracotta Jewellery,Organic Cotton,Festive Item,Tamil Nadu,69x62x59,1491,"heritage craft, minimal design, natural dyes",2263,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Macrame Wall Hanging,Stone,Kids Toy,Odisha,38x98x18,4529,"lacquered, traditional, natural dyes",5937,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Clay Diya Set,Canvas,Wall Art,Goa,86x72x28,1386,"embroidery, traditional, tribal",10854,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Bandhani Dupatta,Silk,Bags,Chhattisgarh,97x72x51,575,"durable, vibrant, classic finish",14080,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Stone Carved Ganesha,Paper Mache,Clothing,Delhi,22x74x14,338,"tribal, lacquered, boho style",6567,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Marble Coaster Set,Wood,Accessories,Delhi,87x78x16,4995,"classic finish, tribal, minimal design",1256,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Macrame Wall Hanging,Wood,Kitchenware,Tamil Nadu,68x21x50,2377,"eco-friendly, cultural, traditional",9935,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Block Print Bedsheet,Bamboo,Spiritual Item,Rajasthan,50x94x43,1538,"sustainable, traditional, natural dyes",12006,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Terracotta Planter,Quartz,Footwear,Chhattisgarh,40x60x29,3928,"tribal, boho style, hand-painted",10144,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Planter
Handwoven Basket,Wood,Bags,Bihar,32x52x55,3551,"traditional, natural dyes, vibrant",8888,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Zari Work Blouse,Marble,Home Decor,Uttar Pradesh,47x98x35,1793,"handcrafted, durable, classic finish",9260,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Kolhapuri Chappal,Clay,Footwear,Gujarat,38x40x28,2459,"boho style, sustainable, classic finish",11885,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kolhapuri+Chappal
Banarasi Silk Saree,Wood,Stationery,Bihar,33x12x47,4705,"eco-friendly, premium, traditional",14507,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Marble Coaster Set,Cane,Bags,Uttar Pradesh,68x44x44,3188,"vibrant, natural dyes, unique design",12229,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Zari Work Blouse,Quartz,Spiritual Item,Delhi,46x97x44,3548,"handcrafted, traditional, artisan made",12907,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Hand-painted Kettle,Wood,Kids Toy,Odisha,57x14x9,3880,"classic finish, boho style, embroidery",5304,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Blue Pottery Plate,Wood,Festive Item,West Bengal,13x85x43,3706,"minimal design, unique design, premium",8378,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Sheesham Wood Bowl,Brass,Bags,Bihar,37x24x50,3485,"artisan made, boho style, unique design",8547,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Sheesham+Wood+Bowl
Kalamkari Saree,Quartz,Home Decor,Tamil Nadu,84x58x41,4677,"handcrafted, unique design, hand-painted",8190,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kalamkari+Saree
Banarasi Silk Saree,Palm Leaf,Decor,Haryana,11x83x11,3554,"handcrafted, embroidery, traditional",839,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Banarasi+Silk+Saree
Woolen Shawl,Pashmina Wool,Kids Toy,Gujarat,38x90x7,1293,"boho style, unique design, cultural",2090,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Marble Coaster Set,Bamboo,Clothing,Kerala,14x89x21,4601,"boho style, heritage craft, natural dyes",13503,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Woolen Shawl,Handmade Paper,Stationery,Karnataka,44x88x43,1793,"premium, handcrafted, durable",5897,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Marble Coaster Set,Organic Cotton,Bags,Chhattisgarh,90x26x47,3530,"eco-friendly, minimal design, unique design",12620,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Clay Water Bottle,Canvas,Home Decor,Assam,45x88x11,4305,"handcrafted, heritage craft, premium",8005,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Water+Bottle
Blue Pottery Plate,Brass,Festive Item,Delhi,21x60x37,1602,"vibrant, sustainable, natural dyes",14074,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Handmade Diary,Palm Leaf,Festive Item,Maharashtra,90x14x28,3057,"tribal, cultural, handcrafted",7748,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Jute Handbag,Cane,Bags,Kerala,85x24x15,4592,"traditional, boho style, heritage craft",317,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Handbag
Brass Puja Thali,Wool,Bags,Goa,90x35x55,1128,"hand-painted, traditional, natural dyes",7763,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Stone Carved Ganesha,Pashmina Wool,Festive Item,Rajasthan,39x26x13,653,"artisan made, hand-painted, lacquered",8119,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Woolen Shawl,Clay,Accessories,Bihar,51x68x55,653,"natural dyes, woven, lacquered",10934,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Woolen Shawl,Jute,Jewellery,Tamil Nadu,62x70x13,653,"eco-friendly, premium, sustainable",2893,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Blue Pottery Plate,Brass,Jewellery,Odisha,99x54x27,1543,"eco-friendly, lacquered, hand-painted",1161,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Woolen Muffler,Wool,Clothing,Uttar Pradesh,10x31x9,3031,"vibrant, woven, minimal design",6552,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Terracotta Jewellery,Brass,Bags,Madhya Pradesh,54x13x16,1218,"vibrant, unique design, boho style",13172,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Terracotta Jewellery,Handmade Paper,Home Decor,Delhi,30x83x15,4040,"durable, hand-painted, tribal",2688,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Brass Puja Thali,Palm Leaf,Furniture Miniature,Gujarat,68x11x59,2634,"unique design, boho style, traditional",3438,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Puja+Thali
Jute Table Mat,Quartz,Footwear,Uttar Pradesh,58x44x25,1842,"heritage craft, natural dyes, hand-painted",2363,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Bandhani Dupatta,Organic Cotton,Stationery,West Bengal,88x75x44,3075,"boho style, sustainable, natural dyes",4002,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Stone Carved Ganesha,Jute,Decor,Madhya Pradesh,39x27x38,619,"eco-friendly, minimal design, premium",13489,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Terracotta Jewellery,Handmade Paper,Stationery,Tamil Nadu,85x57x58,4762,"lacquered, artisan made, heritage craft",1928,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Handmade Diary,Canvas,Jewellery,Haryana,24x41x30,3372,"embroidery, lacquered, cultural",10545,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handmade+Diary
Phulkari Dupatta,Canvas,Kitchenware,Delhi,82x26x36,4700,"classic finish, premium, durable",13498,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Phulkari+Dupatta
Bamboo Basket,Pashmina Wool,Stationery,Chhattisgarh,69x99x8,4630,"traditional, tribal, vibrant",9567,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Wooden Keychain,Cotton Rope,Home Decor,Tamil Nadu,10x62x18,1427,"tribal, hand-painted, natural dyes",3001,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Channapatna Toy,Cane,Footwear,Uttar Pradesh,47x83x46,3357,"cultural, unique design, lacquered",2146,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Kantha Stitch Saree,Cane,Bags,Tamil Nadu,29x76x48,1047,"lacquered, unique design, artisan made",7232,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kantha+Stitch+Saree
Blue Pottery Plate,Leather,Jewellery,Kashmir,18x11x15,1769,"vibrant, woven, artisan made",8150,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Handloom Kurta,Jute,Accessories,Punjab,72x21x53,1665,"classic finish, embroidery, durable",4379,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Handwoven Basket,Palm Leaf,Wall Art,Rajasthan,44x49x49,3091,"tribal, sustainable, lacquered",13754,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Brass Idol,Cotton,Footwear,Uttar Pradesh,48x29x27,4830,"tribal, minimal design, embroidery",13772,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Clay Diya Set,Wool,Decor,Madhya Pradesh,72x73x49,2774,"eco-friendly, premium, woven",10874,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Diya+Set
Handloom Scarf,Cotton Rope,Accessories,Karnataka,55x81x11,4071,"lacquered, woven, tribal",12470,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Scarf
Terracotta Pot,Silk,Spiritual Item,Punjab,41x98x16,2939,"natural dyes, classic finish, hand-painted",2195,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Bandhani Dupatta,Quartz,Kitchenware,Haryana,93x52x21,1415,"classic finish, cultural, eco-friendly",2684,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Cane Chair Miniature,Quartz,Accessories,Rajasthan,60x42x44,1431,"classic finish, embroidery, artisan made",491,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Cane+Chair+Miniature
Copper Mug,Stone,Clothing,West Bengal,19x11x58,806,"natural dyes, unique design, eco-friendly",14702,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Channapatna Toy,Bamboo,Stationery,Punjab,44x33x47,2592,"embroidery, heritage craft, boho style",14521,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Block Print Bedsheet,Cane,Footwear,Odisha,67x53x31,1570,"minimal design, cultural, traditional",6209,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Block+Print+Bedsheet
Paper Mache Box,Brass,Home Decor,West Bengal,88x58x53,3844,"classic finish, durable, traditional",9820,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Paper+Mache+Box
Jute Table Mat,Pashmina Wool,Decor,Kerala,40x98x38,4641,"tribal, heritage craft, cultural",1283,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Jute+Table+Mat
Copper Bottle,Handmade Paper,Footwear,West Bengal,66x18x17,4169,"minimal design, handcrafted, premium",10650,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Bottle
Palm Leaf Box,Wool,Wall Art,Karnataka,48x78x37,457,"handcrafted, classic finish, artisan made",12152,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Palm+Leaf+Box
Hand-painted Kettle,Pashmina Wool,Kitchenware,Chhattisgarh,68x48x9,2241,"minimal design, sustainable, premium",14239,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Sheesham Wood Bowl,Marble,Accessories,Uttar Pradesh,93x45x8,1515,"artisan made, durable, classic finish",5090,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Sheesham+Wood+Bowl
Marble Coaster Set,Quartz,Kids Toy,Assam,30x22x12,240,"artisan made, durable, vibrant",5246,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Marble+Coaster+Set
Bamboo Pen Stand,Quartz,Accessories,Odisha,12x99x54,3337,"classic finish, boho style, hand-painted",6576,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Pen+Stand
Hand-painted Kettle,Quartz,Decor,Chhattisgarh,84x81x27,2836,"embroidery, traditional, heritage craft",4645,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Hand-painted+Kettle
Channapatna Toy,Wood,Furniture Miniature,West Bengal,56x11x12,3223,"hand-painted, traditional, woven",9366,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Stone Carved Ganesha,Cotton,Footwear,Chhattisgarh,48x53x12,366,"classic finish, natural dyes, sustainable",14986,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Stone+Carved+Ganesha
Blue Pottery Plate,Copper,Clothing,Bihar,32x34x15,3212,"traditional, handcrafted, durable",4807,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Kolhapuri Chappal,Organic Cotton,Jewellery,Bihar,16x14x26,389,"boho style, unique design, natural dyes",9476,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kolhapuri+Chappal
Terracotta Pot,Canvas,Home Decor,Maharashtra,53x65x18,1233,"traditional, natural dyes, vibrant",2656,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Clay Water Bottle,Pashmina Wool,Clothing,Delhi,34x98x60,677,"hand-painted, lacquered, natural dyes",14519,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Clay+Water+Bottle
Handcrafted Wind Chime,Stone,Footwear,Kerala,29x47x26,4791,"vibrant, handcrafted, hand-painted",6057,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handcrafted+Wind+Chime
Macrame Wall Hanging,Cotton,Clothing,Assam,20x20x20,806,"durable, handcrafted, unique design",3261,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Macrame+Wall+Hanging
Handloom Scarf,Brass,Wall Art,Odisha,36x77x31,2499,"handcrafted, classic finish, boho style",9844,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Scarf
Zari Work Blouse,Jute,Furniture Miniature,Goa,87x50x31,988,"minimal design, boho style, premium",9535,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Zari+Work+Blouse
Woolen Muffler,Cane,Furniture Miniature,Punjab,72x56x17,2767,"natural dyes, unique design, woven",10741,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Bamboo Basket,Quartz,Kitchenware,Chhattisgarh,76x91x38,3802,"sustainable, vibrant, woven",5236,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Handloom Kurta,Paper Mache,Kitchenware,Odisha,53x21x26,409,"premium, natural dyes, sustainable",12651,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handloom+Kurta
Channapatna Toy,Canvas,Accessories,Punjab,33x25x34,871,"vibrant, woven, unique design",1405,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Channapatna+Toy
Woolen Shawl,Cotton Rope,Kitchenware,West Bengal,74x82x51,2617,"embroidery, traditional, natural dyes",3521,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Blue Pottery Plate,Brass,Wall Art,Kashmir,96x40x57,1025,"minimal design, boho style, durable",3975,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Blue+Pottery+Plate
Palm Leaf Box,Paper Mache,Clothing,Rajasthan,40x11x45,3905,"cultural, sustainable, vibrant",3681,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Palm+Leaf+Box
Woolen Muffler,Handmade Paper,Stationery,Gujarat,30x80x48,2108,"boho style, sustainable, minimal design",1032,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Muffler
Handwoven Basket,Palm Leaf,Bags,Chhattisgarh,11x19x34,4489,"cultural, sustainable, woven",1550,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Handwoven+Basket
Wood Carved Elephant,Cotton Rope,Kitchenware,Odisha,55x65x26,2126,"durable, cultural, hand-painted",2151,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wood+Carved+Elephant
Wood Carved Elephant,Handmade Paper,Spiritual Item,Assam,100x96x60,1318,"artisan made, classic finish, hand-painted",7610,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wood+Carved+Elephant
Wood Carved Elephant,Leather,Clothing,Goa,77x81x39,3413,"minimal design, premium, hand-painted",8284,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wood+Carved+Elephant
Brass Idol,Clay,Spiritual Item,Delhi,100x98x27,2978,"boho style, tribal, hand-painted",1960,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Brass+Idol
Bandhani Dupatta,Quartz,Decor,Uttar Pradesh,82x11x31,2901,"durable, eco-friendly, boho style",2511,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bandhani+Dupatta
Kolhapuri Chappal,Pashmina Wool,Clothing,West Bengal,41x33x8,3604,"classic finish, minimal design, traditional",12340,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Kolhapuri+Chappal
Woolen Shawl,Organic Cotton,Wall Art,Uttar Pradesh,90x54x11,1967,"cultural, woven, premium",11891,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Woolen+Shawl
Terracotta Jewellery,Handmade Paper,Festive Item,Rajasthan,56x29x9,3078,"premium, minimal design, unique design",9305,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Jewellery
Bamboo Basket,Handmade Paper,Bags,Gujarat,46x34x34,1860,"boho style, cultural, eco-friendly",8670,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Bamboo+Basket
Terracotta Pot,Quartz,Accessories,Delhi,19x29x48,2464,"heritage craft, lacquered, hand-painted",7426,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Terracotta+Pot
Copper Mug,Brass,Stationery,Assam,52x19x12,4838,"cultural, hand-painted, tribal",13903,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Copper+Mug
Madhubani Painting,Wool,Accessories,Rajasthan,99x50x21,1287,"traditional, boho style, hand-painted",9207,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Madhubani+Painting
Wooden Keychain,Copper,Kids Toy,Kerala,30x70x25,2601,"vibrant, lacquered, natural dyes",7788,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Wooden+Keychain
Tribal Art Mask,Palm Leaf,Clothing,Madhya Pradesh,49x69x60,1457,"unique design, handcrafted, sustainable",3912,https://dummyimage.com/600x600/cccccc/000000.jpg&text=Tribal+Art+Mask
